atr_mult,tp_mult,ema_fast,ema_slow,vol_mult,Return [%]
2.0,6.0,10,60,2.0,-3.1364847120448758
2.0,6.0,15,40,1.0,-9.200032417733292
2.0,6.0,15,40,1.5,-6.45846840135855
2.0,6.0,15,40,2.0,-3.720933772931803
2.0,6.0,15,50,1.0,-8.032926867239803
2.0,6.0,15,50,1.5,-5.247183879220192
2.0,6.0,15,50,2.0,-3.1292161347743424
2.0,6.0,15,60,1.0,-8.29830473824637
2.0,6.0,15,60,1.5,-2.123037986668205
2.0,6.0,15,60,2.0,-2.9408555463954147
2.5,2.0,5,40,1.0,-6.207527899693032
2.5,2.0,5,40,1.5,1.0612689034924916
2.5,2.0,5,40,2.0,-1.3126233123561177
2.5,2.0,5,50,1.0,-5.7704742134747535
2.5,2.0,5,50,1.5,-2.9994259486934425
2.5,2.0,5,50,2.0,-1.204731521388421
2.5,2.0,5,60,1.0,-8.944560851364113
2.5,2.0,5,60,1.5,-2.2634372515870016
2.5,2.0,5,60,2.0,-1.1582635376412327
2.5,2.0,10,40,1.0,-9.036669562803018
2.5,2.0,10,40,1.5,-1.9979579927281155
2.5,2.0,10,40,2.0,-1.5319169676644195
2.5,2.0,10,50,1.0,-9.285938315800268
2.5,2.0,10,50,1.5,-2.084403087942974
2.5,2.0,10,50,2.0,-1.0618178654915755
2.5,2.0,10,60,1.0,-9.229078826261265
2.5,2.0,10,60,1.5,-2.188844412711042
2.5,2.0,10,60,2.0,-1.1582635376412327
2.5,2.0,15,40,1.0,-7.771980370101883
2.5,2.0,15,40,1.5,-1.7180463818686258
2.5,2.0,15,40,2.0,-1.1771237834603199
2.5,2.0,15,50,1.0,-7.30526525276182
2.5,2.0,15,50,1.5,-1.4663283686065733
2.5,2.0,15,50,2.0,-1.9766113801466236
2.5,2.0,15,60,1.0,-7.3265987539127675
2.5,2.0,15,60,1.5,-1.4614478244781093
2.5,2.0,15,60,2.0,-1.7687911747196632
2.5,3.0,5,40,1.0,-5.258010260838055
2.5,3.0,5,40,1.5,-1.9172919812011788
2.5,3.0,5,40,2.0,-3.527383697705973
2.5,3.0,5,50,1.0,-4.720090138190117
2.5,3.0,5,50,1.5,-2.411488892157413
2.5,3.0,5,50,2.0,-3.6122245202092014
2.5,3.0,5,60,1.0,-4.97685592709131
2.5,3.0,5,60,1.5,-1.3054883550262275
2.5,3.0,5,60,2.0,-3.538007859540703
2.5,3.0,10,40,1.0,-3.6999511635807356
2.5,3.0,10,40,1.5,-1.042135918371987
2.5,3.0,10,40,2.0,-3.6122245202092014
2.5,3.0,10,50,1.0,-3.9914046111297283
2.5,3.0,10,50,1.5,0.36112827453618596
2.5,3.0,10,50,2.0,-3.268342113843682
2.5,3.0,10,60,1.0,-3.4831424320220683
2.5,3.0,10,60,1.5,0.03272123550421384
2.5,3.0,10,60,2.0,-3.538007859540703
2.5,3.0,15,40,1.0,-6.795034876599966
2.5,3.0,15,40,1.5,-2.838455794536021
2.5,3.0,15,40,2.0,-3.268342113843682
2.5,3.0,15,50,1.0,-8.41704643099105
2.5,3.0,15,50,1.5,-3.380014574116267
2.5,3.0,15,50,2.0,-3.538007859540703
2.5,3.0,15,60,1.0,-8.470137787835265
2.5,3.0,15,60,1.5,-3.5613044542802528
2.5,3.0,15,60,2.0,-3.2747111519295866
2.5,4.0,5,40,1.0,-4.852013578349452
2.5,4.0,5,40,1.5,-2.705021615001115
2.5,4.0,5,40,2.0,-1.5809536687033505
2.5,4.0,5,50,1.0,-4.300808467548868
2.5,4.0,5,50,1.5,-0.45795645935051654
2.5,4.0,5,50,2.0,-1.5610063115256163
2.5,4.0,5,60,1.0,-3.856949898398179
2.5,4.0,5,60,1.5,-0.45795645935051654
2.5,4.0,5,60,2.0,-1.5915778305380626
2.5,4.0,10,40,1.0,-8.125312765993332
2.5,4.0,10,40,1.5,-4.137585899483802
2.5,4.0,10,40,2.0,-1.5610063115256163
2.5,4.0,10,50,1.0,-7.605291930334915
2.5,4.0,10,50,1.5,-4.2425262866755835
2.5,4.0,10,50,2.0,-1.3219120848410422
2.5,4.0,10,60,1.0,-7.7280013736724325
2.5,4.0,10,60,1.5,-4.2425262866755835
2.5,4.0,10,60,2.0,-1.5915778305380626
2.5,4.0,15,40,1.0,-7.673469093954901
2.5,4.0,15,40,1.5,-4.14705984873086
2.5,4.0,15,40,2.0,-1.3219120848410422
2.5,4.0,15,50,1.0,-9.943345027542092
2.5,4.0,15,50,1.5,-4.402908375015214
2.5,4.0,15,50,2.0,-1.5915778305380626
2.5,4.0,15,60,1.0,-9.773136324408352
2.5,4.0,15,60,1.5,-4.632840056250352
2.5,4.0,15,60,2.0,-1.3282811229269464
2.5,5.0,5,40,1.0,0.06323107882915792
2.5,5.0,5,40,1.5,1.9868874153682554
2.5,5.0,5,40,2.0,-4.758911070229751
2.5,5.0,5,50,1.0,-0.8920732014137502
2.5,5.0,5,50,1.5,-3.1727048002951417
